Requirement Name,Requirement Text
O.5.2.5 Mean Time To Access (MTTA),The system shall achieve a Mean Time To Access (MTTA) of no more than 2 hours to access the faulty components for repair in an orbital setting
O.5.2.6 Mean Time To Perform Repair (MTTpR),The system shall achieve a Mean Time To Perform Repair (MTTpR) of no more than 8 hours for standard repairs in orbit.
O.5.2.7 Mean Time To Verify (MTTV),The system shall achieve a Mean Time To Verify (MTTV) of no more than 30 minutes to verify system functionality post-repair.
O.5.2.8 Mean Time To Re-Deploy (MTTRd),The system shall achieve a Mean Time To Re-Deploy (MTTRd) of no more than 1 hour to restore full operational capability post-repair.
O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios."
O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.
O.2 Continuous Operation,The system shall be designed to operate continuously in the space environment for a minimum of 5 years without requiring physical human intervention.
O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity
I Interface,"The system shall interface with ground control, host platforms, cargo spacecraft, and existing space infrastructure for command, telemetry, power, thermal management, and logistics support, and provide user-friendly interfaces for both automated and human-assisted operations, ensuring compatibility with 95% of industry-standard equipment and protocols"
I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.
I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.
I.9 Maintenance Interface,"The system shall provide interfaces for maintenance activities, allowing for easy access to critical components."
I.8 Data Interface,The system shall interface with external data systems to allow for the exchange of operational data and analytics.
I.7 Human Interface,The system shall provide intuitive interfaces that allow trained personnel to perform necessary operations with less than 1 hour of specific task training.
I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources."
I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle."
I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.
I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit"
I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.
I.1 Command Reception,The system shall receive commands and software updates from ground control stations.
F Functional,"The system shall demonstrate the capability to perform all functions required for ZBLAN fiber production in microgravity, including preform heating, fiber drawing, real-time monitoring and adjustment, packaging, automated inspection, waste management, support for secondary missions and scientific experiments, process optimization, material recycling, and data security, as verified through end-to-end operational testing."
F.21 Data Analytics,The system shall incorporate advanced data analytics capabilities to predict maintenance needs and optimize manufacturing processes based on historical performance data.
F.20 Autonomous Decision Making,The system shall make autonomous decisions for process adjustments within 2 seconds of detecting anomalies in manufacturing conditions.
F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.
F.18 Quality Control Redundancy,The system shall incorporate redundant quality control sensors with automatic failover capabilities to ensure continuous monitoring in case of sensor failure.
F.17 In-situ Annealing,The system shall incorporate in-situ annealing capabilities to reduce internal stresses in the produced ZBLAN fibers.
F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.
F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm."
F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime"
F.13 Automated Inspection,The system shall perform automated inspections of manufactured products to ensure compliance with quality standards.
F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production
F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.
F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security."
F.9 Maintenance and Serviceability,"The system shall be designed to allow for component replacement or servicing in orbit, with at least 80% of critical components being replaceable without requiring a return to Earth."
F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process."
F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.
F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure."
F.5 Scientific Experimentation,The system shall enable scientific experiments in microgravity alongside manufacturing operations.
F.4 Packaging and Storage,The system shall package and store completed ZBLAN fibers for return to Earth.
F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data."
F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.
F.1 Secondary Missions,The system shall support secondary missions without compromising primary ZBLAN fiber production objectives.
C Constraints,"The system shall operate within all relevant safety standards, international guidelines, and regulations, while supporting national space exploration goals and minimizing environmental impact. It shall adhere to specified power budgets, use approved materials, ensure non-interference with other payloads, and demonstrate economic viability within defined cost and schedule constraints."
C.12 Cost Constraints,"The system shall be developed within a budget of $2.25 billion, with a target per system cost of $465 million to ensure cost-effectiveness and financial feasibility."
C.11 Technology Readiness,All components of the system shall be at Technology Readiness Level (TRL) 6 or higher before integration into the final system.
C.10 Economic Viability,The system shall demonstrate a positive return on investment within 5 years of full operational capability.
C.9 End-of-Life Management,The system shall have a defined end-of-life plan that includes safe deorbiting or repurposing of at least 90% of its components.
C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.
C.7 Payload Interference,"The system shall not interfere with other payloads or operations on the host platform, if the system is being hosted."
C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis."
C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.
C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications."
C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted
C.2 Debris Mitigation,The system shall adhere to international space debris mitigation guidelines.
C.1 Safety Compliance,The system shall comply with all relevant NASA safety standards for operation on crewed space platforms.
1 Mission Need,"There is a need for an orbital system to produce high-quality materials in microgravity using cutting-edge, upgradable technologies that integrate seamlessly with existing space infrastructure, operate within standard constraints, and scale production to meet increasing demand. The system must comply with international regulations, implement robust risk management, minimize environmental impact, and be compatible with standard launch vehicles. It should support national space exploration goals, enable scientific experiments, and demonstrate commercial viability through a sustainable business model with multiple revenue streams, while consistently delivering products that meet industry standards at competitive prices."
