ID,Requirement Name,Requirement Text,Activity Name,Activity Verbs,Activity Nouns,VerbNoun Score,Similarity Score,Combined Score
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.475,0.487
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.573,0.537
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.519,0.509
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.585,0.542
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.1.6 Spool Fiber,,"spool, fiber",0.25,0.66,0.455
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.2.5.4 Amplify Low Rate Transmission,amplify,"rate, transmission",0.25,0.595,0.423
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.2.5.2 Amplify High Rate Transmission,amplify,"rate, transmission",0.25,0.593,0.422
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.2.5.3 Transmit Low Rate Signal,transmit,"rate, signal",0.25,0.576,0.413
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.3.2 Detect Off-Nominal Microgravity Conditions,detect,"microgravity, condition",0.75,0.576,0.663
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,3.2.1 Detect Safety Hazards (Autonomous hazard detection),detect,"safety, hazard, hazard, detection",0.5,0.644,0.572
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.2.3 Detect Production Anomalies,detect,"production, anomaly",0.5,0.54,0.52
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.1.7.2 Detect Defects,detect,defect,0.5,0.438,0.469
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,2.1.3 Detect Faults,detect,fault,0.5,0.425,0.462
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,3.1.2 Report Safety Incidents (Automated logging and reporting),automate,"report, safety, incident, logging, reporting",0.5,0.638,0.569
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,4.2.1 Schedule Resupply Operations (Automated scheduling),automate,"schedule, resupply, operation, scheduling",0.5,0.604,0.552
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,4.1.1 Track Resources (Automated tracking),automate,"track, resource, tracking",0.5,0.567,0.534
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.562,0.531
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),"implement, automate, mitigate","safety, measure, action, risk",0.167,0.648,0.407
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.589,0.545
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,2.3.1 Monitor Thermal Environment,monitor,environment,0.5,0.549,0.524
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,1.3.2 Detect Off-Nominal Microgravity Conditions,detect,"microgravity, condition",0.25,0.661,0.455
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,3.3.1 Monitor Orbital Environment for Debris,monitor,"environment, debris",0.25,0.633,0.441
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,1.1.6 Spool Fiber,,"spool, fiber",0.25,0.611,0.431
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,1.3.2 Detect Off-Nominal Microgravity Conditions,detect,"microgravity, condition",0.25,0.552,0.401
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",2.1.3.2 Analyze Faults (Autonomous fault analysis),analyze,"fault, fault, analysis",0.5,0.556,0.528
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",2.1.5.1 Autonomous Post-Repair Testing,,testing,0.5,0.51,0.505
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.472,0.486
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.46,0.48
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),evaluate,"performance, metric, analysis",0.333,0.583,0.458
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.445,0.473
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",6.1.1.5 Track Stellar Position,track,position,0.5,0.439,0.469
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.432,0.466
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),evaluate,"performance, metric, analysis",0.333,0.555,0.444
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",6.1.3 Store Performance Data,,"store, performance, datum",0.333,0.484,0.409
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",2.2.4 Transmit Launch Vehicle Power,transmit,"launch, vehicle, power",0.333,0.478,0.405
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",7.1.7 Provide Structural Surface,provide,surface,0.5,0.473,0.487
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",2.3.4 Provide Local Heating,provide,heating,0.5,0.456,0.478
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.449,0.475
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",5.1.1 Initiate System Restarts,initiate,"system, restart",0.5,0.405,0.452
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",1.2.1 Collect Real-Time Production Data,collect,"time, production, datum",0.333,0.518,0.426
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,1.1.4 Draw Fiber from Preform,draw,"fiber, preform",0.75,0.53,0.64
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.528,0.514
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.488,0.494
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.483,0.492
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",5.1.3 Redirect Operations (Reconfiguration after faults),,"operation, reconfiguration, fault",0.167,0.671,0.419
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),evaluate,"performance, metric, analysis",0.167,0.651,0.409
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",4.2.4 Secure Docking Connection,,"docking, connection",0.25,0.557,0.403
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.75,0.455,0.603
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",7.2.4 Verify Software Installation,verify,"software, installation",0.75,0.443,0.597
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",4.2.5 Store Manufactured Product,manufacture,"store, product",0.5,0.478,0.489
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",7.2.3 Install/Activate Software,"install, activate",software,0.5,0.457,0.478
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",2.1.5 Test System After Repairs,,"test, system, repair",0.333,0.581,0.457
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",1.2.5 Transmit Data to Ground Control,transmit,"data, ground, control",0.5,0.539,0.52
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",2.1.5 Test System After Repairs,,"test, system, repair",0.333,0.585,0.459
O.8,O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications.",1.2.5 Transmit Data to Ground Control,transmit,"data, ground, control",0.333,0.485,0.409
O.7,O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.466,0.483
O.7,O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.462,0.481
O.7,O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",2.1.5 Test System After Repairs,,"test, system, repair",0.333,0.58,0.457
O.7,O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",6.1.3 Store Performance Data,,"store, performance, datum",0.333,0.506,0.42
O.7,O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",2.1.3.1 Monitor Sensor Data (Remote diagnostics support),,"monitor, sensor, datum, diagnostic, support",0.2,0.638,0.419
O.6,O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure.",2.3.1 Monitor Thermal Environment,monitor,environment,0.5,0.475,0.488
O.6,O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure.",3.3.1 Monitor Orbital Environment for Debris,monitor,"environment, debris",0.25,0.571,0.41
O.4,O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",7.1.7 Provide Structural Surface,provide,surface,0.5,0.487,0.493
O.4,O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.471,0.485
O.4,O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",5.2.1 Receive Remote Commands,receive,command,0.5,0.466,0.483
O.4,O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.465,0.483
O.4,O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",2.3.4 Provide Local Heating,provide,heating,0.5,0.461,0.481
O.3,O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,8.2.3 Control Attitude Using Reaction Torque,use,"control, attitude, reaction, torque",0.5,0.531,0.515
O.3,O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.488,0.494
O.3,O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,4.2.5 Store Manufactured Product,manufacture,"store, product",0.5,0.455,0.478
O.2,O.2 Continuous Operation,The system shall be designed to operate continuously in the space environment for a minimum of 5 years without requiring physical human intervention.,2.3.1 Monitor Thermal Environment,monitor,environment,0.5,0.436,0.468
O.1,O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.577,0.539
O.1,O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,1.1.7.2 Detect Defects,detect,defect,0.5,0.52,0.51
O.1,O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,4.2.5 Store Manufactured Product,manufacture,"store, product",0.5,0.519,0.51
O.1,O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,1.1.8 Correct Defects,,defect,0.5,0.512,0.506
O.1,O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,1.3.2 Detect Off-Nominal Microgravity Conditions,detect,"microgravity, condition",0.25,0.633,0.441
I.11,I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.561,0.531
I.11,I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.25,0.649,0.45
I.10,I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.,4.1.3 Receive Resupply,receive,resupply,0.5,0.485,0.493
I.10,I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.,4.1.2 Request Resupply (Autonomous resupply request),,"request, resupply, resupply, request",0.25,0.68,0.465
I.9,I.9 Maintenance Interface,"The system shall provide interfaces for maintenance activities, allowing for easy access to critical components.",2.3.4 Provide Local Heating,provide,heating,0.5,0.406,0.453
I.9,I.9 Maintenance Interface,"The system shall provide interfaces for maintenance activities, allowing for easy access to critical components.",7.1.7 Provide Structural Surface,provide,surface,0.5,0.406,0.453
I.7,I.7 Human Interface,The system shall provide intuitive interfaces that allow trained personnel to perform necessary operations with less than 1 hour of specific task training.,7.1.7 Provide Structural Surface,provide,surface,0.5,0.476,0.488
I.7,I.7 Human Interface,The system shall provide intuitive interfaces that allow trained personnel to perform necessary operations with less than 1 hour of specific task training.,2.3.4 Provide Local Heating,provide,heating,0.5,0.443,0.471
I.6,I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",2.2.6 Manage Electrical Power,manage,power,0.5,0.422,0.461
I.6,I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",2.2.5 Transmit Electrical Power,transmit,power,0.5,0.417,0.459
I.6,I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",2.2.3 Distribute Power,distribute,power,0.5,0.368,0.434
I.5,I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.396,0.448
I.5,I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.391,0.445
I.4,I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.,4.1.3 Receive Resupply,receive,resupply,0.5,0.465,0.483
I.4,I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.,4.1.2 Request Resupply (Autonomous resupply request),,"request, resupply, resupply, request",0.25,0.639,0.444
I.3,I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",2.1.5 Test System After Repairs,,"test, system, repair",0.5,0.527,0.514
I.3,I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",2.2.6 Manage Electrical Power,manage,power,0.5,0.416,0.458
I.3,I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",2.2.5 Transmit Electrical Power,transmit,power,0.5,0.408,0.454
I.3,I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",2.2.3 Distribute Power,distribute,power,0.5,0.357,0.429
I.3,I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",2.1.4 Repair System,,"repair, system",0.5,0.32,0.41
I.2,I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,1.2.5 Transmit Data to Ground Control,transmit,"data, ground, control",0.5,0.548,0.524
I.2,I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,1.2.5.3 Transmit Low Rate Signal,transmit,"rate, signal",0.5,0.516,0.508
I.2,I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,2.2.4 Transmit Launch Vehicle Power,transmit,"launch, vehicle, power",0.5,0.515,0.508
I.2,I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,5.2.1.2 Transmit RF Signal,transmit,"rf, signal",0.5,0.474,0.487
I.2,I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,2.2.5 Transmit Electrical Power,transmit,power,0.5,0.446,0.473
I.1,I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,5.2.1 Receive Remote Commands,receive,command,1.0,0.41,0.705
I.1,I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,6.1.1.3 Receive GPS Signal,receive,"gps, signal",0.5,0.463,0.482
I.1,I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,4.1.3 Receive Resupply,receive,resupply,0.5,0.452,0.476
I.1,I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,5.2.1.1 Receive RF Signal,receive,"rf, signal",0.5,0.451,0.476
I.1,I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,7.2.3 Install/Activate Software,"install, activate",software,0.5,0.384,0.442
F.19,F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,1.2.5 Transmit Data to Ground Control,transmit,"data, ground, control",0.667,0.575,0.621
F.19,F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,1.2.5.3 Transmit Low Rate Signal,transmit,"rate, signal",0.5,0.521,0.511
F.19,F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,2.2.4 Transmit Launch Vehicle Power,transmit,"launch, vehicle, power",0.5,0.508,0.504
F.19,F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,5.2.1.2 Transmit RF Signal,transmit,"rf, signal",0.5,0.504,0.502
F.19,F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,2.2.5 Transmit Electrical Power,transmit,power,0.5,0.476,0.488
F.17,F.17 In-situ Annealing,The system shall incorporate in-situ annealing capabilities to reduce internal stresses in the produced ZBLAN fibers.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.548,0.524
F.16,F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.508,0.504
F.16,F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.,1.1.7.1 Measure Fiber Diameter,,"measure, fiber, diameter",0.333,0.484,0.408
F.15,F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",1.1.4 Draw Fiber from Preform,draw,"fiber, preform",0.5,0.556,0.528
F.15,F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.535,0.518
F.15,F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",1.1.3.3 Hold Preform,hold,preform,0.5,0.489,0.495
