Requirement Name,Requirement Text,Requirement Verb,Requirement Noun Phrase,Activity Name,Similarity Score
P.9.6 Temperature Monitoring Frequency,The system shall provide continuous temperature monitoring with an update frequency of 1 Hz (threshold) and 2 Hz (objective).,provide,system temperature monitoring update frequency Hz threshold Hz objective,2.3.4 Provide Local Heating,0.52
P.9.5 Temperature Monitoring Resolution,The system shall provide temperature monitoring with a resolution of 0.1°C (threshold) and 0.05°C (objective) in ZBLAN production areas.,provide,system temperature monitoring resolution c threshold c objective production area,7.1.7 Provide Structural Surface,0.583
P.9.5 Temperature Monitoring Resolution,The system shall provide temperature monitoring with a resolution of 0.1°C (threshold) and 0.05°C (objective) in ZBLAN production areas.,provide,system temperature monitoring resolution c threshold c objective production area,2.3.4 Provide Local Heating,0.547
P.9.4 ZBLAN Temperature Ramp Rate,The thermal management system shall achieve a temperature ramp rate of 1°C per minute (threshold) and 1.5°C per minute (objective) in ZBLAN production areas.,achieve,management system temperature ramp rate ° c minute threshold c minute objective production area,6.1.1.1 Measure Temperature,0.836
P.9.4 ZBLAN Temperature Ramp Rate,The thermal management system shall achieve a temperature ramp rate of 1°C per minute (threshold) and 1.5°C per minute (objective) in ZBLAN production areas.,achieve,management system temperature ramp rate ° c minute threshold c minute objective production area,1.2.5.2 Amplify High Rate Transmission,0.813
P.9.4 ZBLAN Temperature Ramp Rate,The thermal management system shall achieve a temperature ramp rate of 1°C per minute (threshold) and 1.5°C per minute (objective) in ZBLAN production areas.,achieve,management system temperature ramp rate ° c minute threshold c minute objective production area,1.2.5.3 Transmit Low Rate Signal,0.813
P.9.3 ZBLAN Temperature Uniformity,The system shall ensure temperature uniformity within ±0.2°C across the ZBLAN production volume (threshold) and within ±0.1°C (objective).,ensure,system temperature uniformity ±0.2 c production volume threshold ±0.1 c objective,6.1.1.1 Measure Temperature,0.813
P.9.3 ZBLAN Temperature Uniformity,The system shall ensure temperature uniformity within ±0.2°C across the ZBLAN production volume (threshold) and within ±0.1°C (objective).,ensure,system temperature uniformity ±0.2 c production volume threshold ±0.1 c objective,1.2.2 Analyze Production Efficiency,0.8
P.9.3 ZBLAN Temperature Uniformity,The system shall ensure temperature uniformity within ±0.2°C across the ZBLAN production volume (threshold) and within ±0.1°C (objective).,ensure,system temperature uniformity ±0.2 c production volume threshold ±0.1 c objective,2.2.5 Transmit Electrical Power,0.784
P.9.2 ZBLAN Temperature Stability,The thermal management system shall maintain temperature stability within ±0.5°C over a 1-hour period in ZBLAN production areas (threshold) and within ±0.3°C (objective).,maintain,management system temperature stability ±0.5 c hour period production area threshold ±0.3 C objective,6.1.1.1 Measure Temperature,0.81
P.9.2 ZBLAN Temperature Stability,The thermal management system shall maintain temperature stability within ±0.5°C over a 1-hour period in ZBLAN production areas (threshold) and within ±0.3°C (objective).,maintain,management system temperature stability ±0.5 c hour period production area threshold ±0.3 C objective,7.1.5 Control Antenna Position,0.792
P.9.2 ZBLAN Temperature Stability,The thermal management system shall maintain temperature stability within ±0.5°C over a 1-hour period in ZBLAN production areas (threshold) and within ±0.3°C (objective).,maintain,management system temperature stability ±0.5 c hour period production area threshold ±0.3 C objective,1.2.5.2 Amplify High Rate Transmission,0.764
P.9.1 ZBLAN Production Temperature Range,The system shall maintain the temperature for ZBLAN production between 300°C and 400°C (threshold) and 310°C to 390°C (objective).,maintain,system temperature production c c threshold ° c c objective,6.1.1.1 Measure Temperature,0.684
P.9.1 ZBLAN Production Temperature Range,The system shall maintain the temperature for ZBLAN production between 300°C and 400°C (threshold) and 310°C to 390°C (objective).,maintain,system temperature production c c threshold ° c c objective,1.2.5.2 Amplify High Rate Transmission,0.619
P.9.1 ZBLAN Production Temperature Range,The system shall maintain the temperature for ZBLAN production between 300°C and 400°C (threshold) and 310°C to 390°C (objective).,maintain,system temperature production c c threshold ° c c objective,1.2.5.3 Transmit Low Rate Signal,0.619
P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",operate,system energy efficiency % power consumption manufacturing process,2.2.6 Manage Electrical Power,0.868
P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",operate,system energy efficiency % power consumption manufacturing process,2.2.9 Switch Electrical Power,0.868
P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",operate,system energy efficiency % power consumption manufacturing process,2.2.1 Generate Solar Power,0.867
P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",maintain,system product quality production run % variation quality metric batch,1.2.2 Analyze Production Efficiency,0.834
P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",maintain,system product quality production run % variation quality metric batch,1.2.1 Collect Real-Time Production Data,0.809
P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",maintain,system product quality production run % variation quality metric batch,2.2.3 Distribute Power,0.784
P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",restart,system fiber production minute production break % production quality,2.2.3 Distribute Power,0.843
P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",restart,system fiber production minute production break % production quality,1.2.4 Generate Production Reports,0.824
P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",restart,system fiber production minute production break % production quality,1.2.2 Analyze Production Efficiency,0.805
P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",produce,system material cost alternative performance benefit space product target meter fiber,2.2.5 Transmit Electrical Power,0.895
P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",produce,system material cost alternative performance benefit space product target meter fiber,2.2.6 Manage Electrical Power,0.872
P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",produce,system material cost alternative performance benefit space product target meter fiber,2.2.9 Switch Electrical Power,0.872
P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",support,system generation revenue source product sale technology licensing research service business case analysis,7.1.8 Support Platform Structure,0.82
P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",support,system generation revenue source product sale technology licensing research service business case analysis,7.2.1 Prepare for Software Installation/Update,0.808
P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",support,system generation revenue source product sale technology licensing research service business case analysis,7.1.4 Verify Hardware Installation,0.787
P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,achieve,system manufacturing yield % fiber,7.1.5 Control Antenna Position,0.736
P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,achieve,system manufacturing yield % fiber,2.2.5 Transmit Electrical Power,0.723
P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,achieve,system manufacturing yield % fiber,1.2.2 Analyze Production Efficiency,0.723
P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,maintain,system production rate meter fiber day,7.1.5 Control Antenna Position,0.881
P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,maintain,system production rate meter fiber day,2.2.5 Transmit Electrical Power,0.857
P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,maintain,system production rate meter fiber day,1.2.5.2 Amplify High Rate Transmission,0.856
P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 μm wavelength.,produce,system fiber attenuation rate dB km wavelength,1.1.7.1 Measure Fiber Diameter,0.821
P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 μm wavelength.,produce,system fiber attenuation rate dB km wavelength,7.1.5 Control Antenna Position,0.803
P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 μm wavelength.,produce,system fiber attenuation rate dB km wavelength,1.2.5.2 Amplify High Rate Transmission,0.803
O Operational,"The system shall operate continuously and securely in the space environment, producing high-quality ZBLAN fibers while maintaining operational availability, autonomy, and microgravity conditions. It shall be capable of scaling production, handling multiple materials, and ensuring radiation protection.",operate,system space environment quality fiber availability autonomy microgravity condition production material radiation protection,2.1.5.2 Remote Monitoring of Repair Testing,0.854
O Operational,"The system shall operate continuously and securely in the space environment, producing high-quality ZBLAN fibers while maintaining operational availability, autonomy, and microgravity conditions. It shall be capable of scaling production, handling multiple materials, and ensuring radiation protection.",operate,system space environment quality fiber availability autonomy microgravity condition production material radiation protection,7.1.4 Verify Hardware Installation,0.831
O Operational,"The system shall operate continuously and securely in the space environment, producing high-quality ZBLAN fibers while maintaining operational availability, autonomy, and microgravity conditions. It shall be capable of scaling production, handling multiple materials, and ensuring radiation protection.",operate,system space environment quality fiber availability autonomy microgravity condition production material radiation protection,7.2.4 Verify Software Installation,0.831
O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,detect,system microgravity disturbance manufacturing process stability,2.1.5.2 Remote Monitoring of Repair Testing,0.759
O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,detect,system microgravity disturbance manufacturing process stability,2.3.2 Regulate System Temperature,0.758
O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,detect,system microgravity disturbance manufacturing process stability,7.1.5 Control Antenna Position,0.746
O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,incorporate,system fiber mechanism fiber length km,1.1.7.1 Measure Fiber Diameter,0.764
O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,incorporate,system fiber mechanism fiber length km,1.1.7 Monitor Fiber Quality,0.694
O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,incorporate,system fiber mechanism fiber length km,7.1.5 Control Antenna Position,0.676
O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,maintain,system microgravity environment -6 g ZBLAN fiber production,2.2.5 Transmit Electrical Power,0.75
O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,maintain,system microgravity environment -6 g ZBLAN fiber production,2.2.6 Manage Electrical Power,0.741
O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,maintain,system microgravity environment -6 g ZBLAN fiber production,2.2.9 Switch Electrical Power,0.741
O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,maintain,system condition limit operation component,2.3.3 Transfer Heat Away,0.819
O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,maintain,system condition limit operation component,4.1.3.1 Coordinate Automated Resource Transfer,0.818
O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,maintain,system condition limit operation component,8.2.5 Transfer Propellant,0.787
O.20.1 Heat Rejection Capacity,"The thermal management system shall achieve a heat rejection capacity of at least 10 W/kg (threshold) under normal operating conditions, with an objective of 60 W/kg or greater. This capacity is defined as the total heat rejection in watts divided by the total mass of the radiator system in kilograms.",achieve,management system heat rejection capacity W kg threshold operating condition objective W kg capacity heat rejection watt mass radiator system kilogram,2.2.5 Transmit Electrical Power,0.799
O.20.1 Heat Rejection Capacity,"The thermal management system shall achieve a heat rejection capacity of at least 10 W/kg (threshold) under normal operating conditions, with an objective of 60 W/kg or greater. This capacity is defined as the total heat rejection in watts divided by the total mass of the radiator system in kilograms.",achieve,management system heat rejection capacity W kg threshold operating condition objective W kg capacity heat rejection watt mass radiator system kilogram,2.1.5.2 Remote Monitoring of Repair Testing,0.794
O.20.1 Heat Rejection Capacity,"The thermal management system shall achieve a heat rejection capacity of at least 10 W/kg (threshold) under normal operating conditions, with an objective of 60 W/kg or greater. This capacity is defined as the total heat rejection in watts divided by the total mass of the radiator system in kilograms.",achieve,management system heat rejection capacity W kg threshold operating condition objective W kg capacity heat rejection watt mass radiator system kilogram,2.2.6 Manage Electrical Power,0.768
O.20.2 Redundancy,The thermal management system shall include N+1 redundancy for critical components (threshold) and N+2 redundancy (objective).,include,management system N+1 redundancy component threshold redundancy objective,4.2.4 Secure Docking Connection,0.896
O.20.2 Redundancy,The thermal management system shall include N+1 redundancy for critical components (threshold) and N+2 redundancy (objective).,include,management system N+1 redundancy component threshold redundancy objective,6.2.2 Identify Performance Bottlenecks,0.834
O.20.2 Redundancy,The thermal management system shall include N+1 redundancy for critical components (threshold) and N+2 redundancy (objective).,include,management system N+1 redundancy component threshold redundancy objective,2.2.5 Transmit Electrical Power,0.797
O.20.3 Radiator System Mass,The total mass of the radiator system shall not exceed 2800kg (threshold) and 200kg (objective).,exceed,mass radiator system kg threshold kg objective,1.1.7.1 Measure Fiber Diameter,0.723
O.20.3 Radiator System Mass,The total mass of the radiator system shall not exceed 2800kg (threshold) and 200kg (objective).,exceed,mass radiator system kg threshold kg objective,7.1.7 Provide Structural Surface,0.675
O.20.3 Radiator System Mass,The total mass of the radiator system shall not exceed 2800kg (threshold) and 200kg (objective).,exceed,mass radiator system kg threshold kg objective,2.1.5.2 Remote Monitoring of Repair Testing,0.665
O.20.4 Radiator Deployed Area,The total deployed area of the radiator system shall not exceed 200m² (threshold) and 50m² (objective) while meeting the required heat rejection capacity.,deploy,area radiator system m² threshold m² objective heat rejection capacity,7.1.5 Control Antenna Position,0.832
O.20.4 Radiator Deployed Area,The total deployed area of the radiator system shall not exceed 200m² (threshold) and 50m² (objective) while meeting the required heat rejection capacity.,deploy,area radiator system m² threshold m² objective heat rejection capacity,2.2.5 Transmit Electrical Power,0.831
O.20.4 Radiator Deployed Area,The total deployed area of the radiator system shall not exceed 200m² (threshold) and 50m² (objective) while meeting the required heat rejection capacity.,deploy,area radiator system m² threshold m² objective heat rejection capacity,2.4.2 Analyze Radiation Exposure Data,0.807
O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",include,system fault mechanism % functionality hour point component failure fault injection testing performance analysis,2.1.5.2 Remote Monitoring of Repair Testing,0.817
O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",include,system fault mechanism % functionality hour point component failure fault injection testing performance analysis,1.2.2 Analyze Production Efficiency,0.815
O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",include,system fault mechanism % functionality hour point component failure fault injection testing performance analysis,8.2.3 Control Attitude Using Reaction Torque,0.808
O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,include,system safety protocol crew member maintenance operation space,2.1.5.2 Remote Monitoring of Repair Testing,0.91
O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,include,system safety protocol crew member maintenance operation space,7.2.1 Prepare for Software Installation/Update,0.905
O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,include,system safety protocol crew member maintenance operation space,7.1.2 Prepare for Hardware Installation,0.879
O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",incorporate,system supply chain management protocol tracking delivery % material component ±5 day delivery date operation system performance simulation datum analysis,1.2.2 Analyze Production Efficiency,0.837
O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",incorporate,system supply chain management protocol tracking delivery % material component ±5 day delivery date operation system performance simulation datum analysis,2.1.5.2 Remote Monitoring of Repair Testing,0.82
O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",incorporate,system supply chain management protocol tracking delivery % material component ±5 day delivery date operation system performance simulation datum analysis,2.2.6 Manage Electrical Power,0.819
O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",integrate,system launch operation compatibility launch vehicle interface procedure,4.1.3.1 Coordinate Automated Resource Transfer,0.836
O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",integrate,system launch operation compatibility launch vehicle interface procedure,2.2.4 Transmit Launch Vehicle Power,0.79
O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",integrate,system launch operation compatibility launch vehicle interface procedure,2.1.5.2 Remote Monitoring of Repair Testing,0.746
O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",provide,system radiation shielding equipment material % degradation performance lifetime,2.3.4 Provide Local Heating,0.644
O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",provide,system radiation shielding equipment material % degradation performance lifetime,7.1.7 Provide Structural Surface,0.627
O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,process,system type product ZBLAN lifetime,7.1.8 Support Platform Structure,0.875
O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,process,system type product ZBLAN lifetime,2.1.1 Inspect System,0.825
O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,process,system type product ZBLAN lifetime,7.1.4 Verify Hardware Installation,0.823
O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",operate,system % production time ability fiber production break,1.2.1 Collect Real-Time Production Data,0.806
O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",operate,system % production time ability fiber production break,2.2.3 Distribute Power,0.776
O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",operate,system % production time ability fiber production break,1.2.2 Analyze Production Efficiency,0.758
O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,scale,system production capacity demonstration level production level km fiber draw,2.2.3 Distribute Power,0.851
O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,scale,system production capacity demonstration level production level km fiber draw,1.2.2 Analyze Production Efficiency,0.833
O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,scale,system production capacity demonstration level production level km fiber draw,2.2.5 Transmit Electrical Power,0.781
O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",include,system interface International Docking System Standard IDSS addition production module post - interface conformity analysis docking operation,7.2.1 Prepare for Software Installation/Update,0.85
O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",include,system interface International Docking System Standard IDSS addition production module post - interface conformity analysis docking operation,4.1.3.1 Coordinate Automated Resource Transfer,0.84
O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",include,system interface International Docking System Standard IDSS addition production module post - interface conformity analysis docking operation,7.1.4 Verify Hardware Installation,0.838
O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",include,system hardware software interface integration manufacturing technology process upgrade test design validation,2.1.1 Inspect System,0.898
O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",include,system hardware software interface integration manufacturing technology process upgrade test design validation,7.1.4 Verify Hardware Installation,0.882
