ID,Requirement Name,Requirement Text,Activity Name,Activity Verbs,Activity Nouns,VerbNoun Score,Similarity Score,Combined Score
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",4.2.5 Store Manufactured Product,manufacture,"store, product",0.75,0.417,0.517
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.125,0.6,0.457
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.437,0.456
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",1.1.4 Draw Fiber from Preform,draw,"fiber, preform",0.25,0.539,0.452
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",2.1.5 Test System After Repairs,,"test, system, repair",0.167,0.554,0.438
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.481,0.487
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.475,0.482
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",4.1.2 Request Resupply (Autonomous resupply request),,"request, resupply, resupply, request",0.0,0.684,0.479
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",2.1.3.1 Monitor Sensor Data (Remote diagnostics support),,"monitor, sensor, datum, diagnostic, support",0.1,0.637,0.476
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.0,0.674,0.472
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.573,0.551
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.125,0.647,0.49
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,adjust,"manufacturing, parameter, condition",0.167,0.604,0.473
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,4.1.2 Request Resupply (Autonomous resupply request),,"request, resupply, resupply, request",0.0,0.663,0.464
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),,"adjust, production, parameter, feedback, loop",0.0,0.64,0.448
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.519,0.513
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.125,0.627,0.476
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,2.3.6 Insulate System Thermally,,"insulate, system, thermally",0.167,0.586,0.46
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),,"adjust, production, parameter, feedback, loop",0.1,0.594,0.446
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,2.1.5 Test System After Repairs,,"test, system, repair",0.167,0.559,0.441
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.585,0.559
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.1.6 Spool Fiber,,"spool, fiber",0.25,0.66,0.537
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.2.5.4 Amplify Low Rate Transmission,amplify,"rate, transmission",0.25,0.595,0.492
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.125,0.648,0.491
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,2.1.3.1 Monitor Sensor Data (Remote diagnostics support),,"monitor, sensor, datum, diagnostic, support",0.0,0.702,0.491
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.3.2 Detect Off-Nominal Microgravity Conditions,detect,"microgravity, condition",0.75,0.576,0.629
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,3.2.1 Detect Safety Hazards (Autonomous hazard detection),detect,"safety, hazard, hazard, detection",0.5,0.644,0.601
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.2.3 Detect Production Anomalies,detect,"production, anomaly",0.5,0.54,0.528
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,adjust,"manufacturing, parameter, condition",0.167,0.601,0.471
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.1.7.2 Detect Defects,detect,defect,0.5,0.438,0.457
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,3.1.2 Report Safety Incidents (Automated logging and reporting),automate,"report, safety, incident, logging, reporting",0.5,0.638,0.597
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,4.2.1 Schedule Resupply Operations (Automated scheduling),automate,"schedule, resupply, operation, scheduling",0.5,0.604,0.572
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,4.1.1 Track Resources (Automated tracking),automate,"track, resource, tracking",0.5,0.567,0.547
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.562,0.543
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),"implement, automate, mitigate","safety, measure, action, risk",0.167,0.648,0.504
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.589,0.562
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,1.3.2 Detect Off-Nominal Microgravity Conditions,detect,"microgravity, condition",0.25,0.661,0.538
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,2.3.1 Monitor Thermal Environment,monitor,environment,0.5,0.549,0.534
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,3.3.1 Monitor Orbital Environment for Debris,monitor,"environment, debris",0.25,0.633,0.518
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.125,0.669,0.506
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,adjust,"manufacturing, parameter, condition",0.167,0.602,0.471
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,1.3.2 Detect Off-Nominal Microgravity Conditions,detect,"microgravity, condition",0.25,0.552,0.461
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),"implement, automate, mitigate","safety, measure, action, risk",0.0,0.634,0.444
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,5.1.3 Redirect Operations (Reconfiguration after faults),,"operation, reconfiguration, fault",0.167,0.552,0.437
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,3.2.1 Detect Safety Hazards (Autonomous hazard detection),detect,"safety, hazard, hazard, detection",0.0,0.61,0.427
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",2.1.3.2 Analyze Faults (Autonomous fault analysis),analyze,"fault, fault, analysis",0.5,0.556,0.539
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),evaluate,"performance, metric, analysis",0.333,0.583,0.508
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",2.1.5.1 Autonomous Post-Repair Testing,,testing,0.5,0.51,0.507
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.472,0.48
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",5.1.3 Redirect Operations (Reconfiguration after faults),,"operation, reconfiguration, fault",0.167,0.607,0.475
O.18,O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,5.1.3 Redirect Operations (Reconfiguration after faults),,"operation, reconfiguration, fault",0.167,0.58,0.456
O.18,O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,3.2.1 Detect Safety Hazards (Autonomous hazard detection),detect,"safety, hazard, hazard, detection",0.125,0.573,0.438
O.18,O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),"implement, automate, mitigate","safety, measure, action, risk",0.125,0.568,0.435
O.18,O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,3.1.1 Monitor Safety Standards (Automated safety checks),monitor,"safety, standards, safety, check",0.25,0.495,0.422
O.18,O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,2.1.5 Test System After Repairs,,"test, system, repair",0.167,0.524,0.417
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),evaluate,"performance, metric, analysis",0.333,0.555,0.489
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",5.1.3 Redirect Operations (Reconfiguration after faults),,"operation, reconfiguration, fault",0.167,0.626,0.488
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",6.1.1 Capture Sensor Data (Automated and continuous),,"capture, sensor, datum",0.167,0.603,0.472
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",2.1.5 Test System After Repairs,,"test, system, repair",0.167,0.596,0.467
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.445,0.462
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",3.3.3 Execute End-of-Life Deorbiting Procedures,execute,"end, life, deorbiting, procedure",0.125,0.612,0.466
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",5.1.3 Redirect Operations (Reconfiguration after faults),,"operation, reconfiguration, fault",0.167,0.594,0.466
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",2.1.5 Test System After Repairs,,"test, system, repair",0.167,0.554,0.438
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",2.2.4 Transmit Launch Vehicle Power,transmit,"launch, vehicle, power",0.333,0.478,0.434
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.0,0.611,0.428
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",7.1.7 Provide Structural Surface,provide,surface,0.5,0.473,0.481
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",2.3.4 Provide Local Heating,provide,heating,0.5,0.456,0.469
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",3.3.3 Execute End-of-Life Deorbiting Procedures,execute,"end, life, deorbiting, procedure",0.0,0.651,0.456
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.0,0.651,0.456
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",4.1.2 Request Resupply (Autonomous resupply request),,"request, resupply, resupply, request",0.0,0.641,0.449
O.14,O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,2.1.5 Test System After Repairs,,"test, system, repair",0.167,0.589,0.463
O.14,O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,adjust,"manufacturing, parameter, condition",0.0,0.651,0.456
O.14,O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.0,0.628,0.439
O.14,O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,3.3.3 Execute End-of-Life Deorbiting Procedures,execute,"end, life, deorbiting, procedure",0.0,0.624,0.437
O.14,O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),"implement, automate, mitigate","safety, measure, action, risk",0.0,0.614,0.43
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.125,0.619,0.47
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.449,0.465
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",1.2.1 Collect Real-Time Production Data,collect,"time, production, datum",0.333,0.518,0.462
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",5.1.1 Initiate System Restarts,initiate,"system, restart",0.5,0.405,0.433
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",3.3.3 Execute End-of-Life Deorbiting Procedures,execute,"end, life, deorbiting, procedure",0.0,0.614,0.43
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,1.1.4 Draw Fiber from Preform,draw,"fiber, preform",0.75,0.53,0.596
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.528,0.52
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.125,0.626,0.475
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),,"adjust, production, parameter, feedback, loop",0.1,0.608,0.455
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,2.1.5 Test System After Repairs,,"test, system, repair",0.167,0.578,0.455
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",5.1.3 Redirect Operations (Reconfiguration after faults),,"operation, reconfiguration, fault",0.167,0.671,0.52
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),evaluate,"performance, metric, analysis",0.167,0.651,0.506
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",4.2.1 Schedule Resupply Operations (Automated scheduling),automate,"schedule, resupply, operation, scheduling",0.125,0.668,0.505
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",1.1.9 Adjust Production Parameters (Autonomous feedback loop),,"adjust, production, parameter, feedback, loop",0.1,0.674,0.502
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",3.1.2 Report Safety Incidents (Automated logging and reporting),automate,"report, safety, incident, logging, reporting",0.0,0.71,0.497
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.75,0.455,0.544
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",7.2.4 Verify Software Installation,verify,"software, installation",0.75,0.443,0.535
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",2.1.5 Test System After Repairs,,"test, system, repair",0.333,0.581,0.507
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",4.2.5 Store Manufactured Product,manufacture,"store, product",0.5,0.478,0.485
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",7.2.3 Install/Activate Software,"install, activate",software,0.5,0.457,0.47
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",1.2.5 Transmit Data to Ground Control,transmit,"data, ground, control",0.5,0.539,0.527
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",2.1.5 Test System After Repairs,,"test, system, repair",0.333,0.585,0.51
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",2.1.4.2 Coordinate Remote Repair Support (Ground-based intervention),"coordinate, base","remote, repair, support, ground, intervention",0.1,0.668,0.497
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.0,0.695,0.486
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",3.1.2 Report Safety Incidents (Automated logging and reporting),automate,"report, safety, incident, logging, reporting",0.0,0.694,0.486
O.8,O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications.",5.1.3 Redirect Operations (Reconfiguration after faults),,"operation, reconfiguration, fault",0.167,0.607,0.475
